epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7351,0.73531,6.6211,0.0043,0.63925,0.075,0.07373,0.06156,0.77132,7.41346,0.00462,3e-05,3e-05,3e-05
2,54.5658,0.73041,6.43441,0.00376,0.82037,0.125,0.08462,0.06947,0.73339,6.81521,0.00444,6.8614e-05,6.8614e-05,6.8614e-05
3,80.647,0.70945,6.10765,0.0037,0.34407,0.25,0.20733,0.17437,0.75222,6.1304,0.00451,0.000105644,0.000105644,0.000105644
4,106.412,0.6952,4.67743,0.00421,0.63579,0.45814,0.44053,0.38108,0.69271,5.47628,0.00412,0.00014109,0.00014109,0.00014109
5,132.089,0.63065,3.8047,0.00312,0.74408,0.53567,0.53451,0.45753,0.6646,5.00839,0.00396,0.000174952,0.000174952,0.000174952
6,157.721,0.64969,4.38259,0.00374,0.72976,0.5617,0.5905,0.50981,0.64912,4.75833,0.00389,0.00020723,0.00020723,0.00020723
7,183.232,0.68447,2.96744,0.00321,0.50881,0.65,0.65858,0.55749,0.71922,4.3484,0.00434,0.000237924,0.000237924,0.000237924
8,209.488,0.69284,3.42677,0.00386,0.60009,0.72665,0.7727,0.65349,0.68713,4.07141,0.00412,0.000267034,0.000267034,0.000267034
9,234.687,0.66434,2.82478,0.00346,0.84114,0.67975,0.86332,0.7187,0.68516,3.74393,0.00414,0.00029456,0.00029456,0.00029456
10,260.044,0.64051,2.65877,0.00361,0.85789,0.86316,0.93853,0.77022,0.71699,3.43256,0.00434,0.000320502,0.000320502,0.000320502
11,286.238,0.67491,2.17595,0.00401,0.9335,0.81938,0.93394,0.77798,0.67105,3.24798,0.00404,0.00034486,0.00034486,0.00034486
12,311.245,0.66294,2.26663,0.00375,0.84013,0.925,0.94673,0.79534,0.63669,2.99191,0.00382,0.000367634,0.000367634,0.000367634
13,336.526,0.60886,1.76099,0.00289,0.83762,0.9746,0.96371,0.80898,0.67764,2.83239,0.00403,0.000388824,0.000388824,0.000388824
14,361.776,0.67233,1.96635,0.0035,0.79038,0.95796,0.95487,0.79557,0.69203,2.67923,0.00411,0.00040843,0.00040843,0.00040843
15,387.113,0.67202,1.73142,0.00368,0.78792,0.95,0.97396,0.82713,0.66589,2.5436,0.00397,0.000426452,0.000426452,0.000426452
16,413.711,0.66123,1.45989,0.00321,0.78792,0.95,0.97396,0.82713,0.66589,2.5436,0.00397,0.00044289,0.00044289,0.00044289
17,445.723,0.65516,1.48561,0.00354,0.82326,0.93562,0.97504,0.82946,0.66774,2.40603,0.00407,0.000457744,0.000457744,0.000457744
18,476.816,0.68905,1.34954,0.00349,0.8668,0.96154,0.98856,0.82248,0.67868,2.18171,0.00417,0.000471014,0.000471014,0.000471014
19,506.808,0.71182,1.23841,0.00403,0.8668,0.96154,0.98856,0.82248,0.67868,2.18171,0.00417,0.0004827,0.0004827,0.0004827
20,538.348,0.72152,1.2789,0.00454,0.93109,0.96909,0.99273,0.82826,0.75899,2.00047,0.00464,0.000492802,0.000492802,0.000492802
21,568.478,0.73049,1.22833,0.00441,0.92663,0.95879,0.98629,0.83286,0.6904,1.91882,0.00417,0.00050132,0.00050132,0.00050132
22,598.841,0.66141,1.10508,0.0036,0.92663,0.95879,0.98629,0.83286,0.6904,1.91882,0.00417,0.000508254,0.000508254,0.000508254
23,626.082,0.66912,0.96631,0.00332,0.95094,0.95625,0.98629,0.83872,0.63772,1.67358,0.00383,0.000513604,0.000513604,0.000513604
24,657.592,0.57498,1.30691,0.00308,0.95094,0.95625,0.98629,0.83872,0.63772,1.67358,0.00383,0.00051737,0.00051737,0.00051737
25,685.115,0.60659,0.87564,0.00285,0.91913,0.98393,0.99045,0.84794,0.63228,1.49019,0.00379,0.000519552,0.000519552,0.000519552
26,712.286,0.63206,0.99434,0.00331,0.91913,0.98393,0.99045,0.84794,0.63228,1.49019,0.00379,0.000505,0.000505,0.000505
27,739.806,0.65382,0.85421,0.00343,0.92375,0.95684,0.98833,0.84485,0.66019,1.36969,0.00393,0.0004852,0.0004852,0.0004852
28,771.015,0.69502,1.2187,0.004,0.92375,0.95684,0.98833,0.84485,0.66019,1.36969,0.00393,0.0004654,0.0004654,0.0004654
29,797.536,0.62718,0.96677,0.0034,0.88646,0.99409,0.99045,0.84789,0.67866,1.22281,0.00408,0.0004456,0.0004456,0.0004456
30,829.123,0.66212,0.87216,0.00355,0.88646,0.99409,0.99045,0.84789,0.67866,1.22281,0.00408,0.0004258,0.0004258,0.0004258
31,856.05,0.62482,0.84441,0.00329,0.916,1,0.98818,0.82413,0.74955,1.1385,0.00456,0.000406,0.000406,0.000406
32,887.361,0.6546,0.82315,0.00368,0.916,1,0.98818,0.82413,0.74955,1.1385,0.00456,0.0003862,0.0003862,0.0003862
33,915.746,0.71069,0.98095,0.0041,0.90105,1,0.99045,0.83603,0.7081,1.05755,0.00428,0.0003664,0.0003664,0.0003664
34,946.848,0.64016,0.69716,0.00339,0.90105,1,0.99045,0.83603,0.7081,1.05755,0.00428,0.0003466,0.0003466,0.0003466
35,979.69,0.57245,0.76771,0.0026,0.975,0.99005,0.995,0.85749,0.62125,0.95129,0.00372,0.0003268,0.0003268,0.0003268
36,1007.99,0.62586,0.75997,0.00355,0.975,0.99005,0.995,0.85749,0.62125,0.95129,0.00372,0.000307,0.000307,0.000307
37,1035.73,0.63613,0.73945,0.00318,0.96972,0.97174,0.995,0.85985,0.59654,0.88639,0.00356,0.0002872,0.0002872,0.0002872
38,1063.23,0.58265,0.77397,0.0029,0.96972,0.97174,0.995,0.85985,0.59654,0.88639,0.00356,0.0002674,0.0002674,0.0002674
39,1089.12,0.57942,0.6693,0.00271,0.97376,0.99588,0.995,0.85324,0.61008,0.83424,0.00365,0.0002476,0.0002476,0.0002476
40,1119.86,0.61198,0.76372,0.00298,0.97376,0.99588,0.995,0.85324,0.61008,0.83424,0.00365,0.0002278,0.0002278,0.0002278
41,1145.16,0.64379,1.02936,0.00444,0.96525,1,0.995,0.86607,0.61429,0.80887,0.00369,0.000208,0.000208,0.000208
42,1175.22,0.57886,0.97925,0.00408,0.96525,1,0.995,0.86607,0.61429,0.80887,0.00369,0.0001882,0.0001882,0.0001882
